sentence,label,class
afternoon speaking from the flight 730 6969 board thank you,neither,0
afternoon speaking from the flight 730 6969 board of guys,neither,0
aakash thank you bro yes 10000 stream what is the cause of funny,neither,0
aakash thank you bro yes 10000 stream what is the cause today i know,neither,0
aakash thank you bro yes 10000 stream what is the cause i have a question,neither,0
wake up on times sunday and play 20 games sunday on papers,neither,0
good morning,neither,0
sponsorbico.com in private internet access good morning,neither,0
crypto.com in private internet access good morning,neither,0
sponsorbico.com in private internet good morning,neither,0
good morning good morning,neither,0
i dont know i know i think,neither,0
really bro oh my god,neither,0
i know oh my god,neither,0
gold rate,neither,0
i listen gold rate,neither,0
my pinion effect cheetah tomorrow on track,neither,0
my pinion effect today and after spend money on track,neither,0
my pinion effect cheetah draft tomorrow on track,neither,0
oh my car,neither,0
oh my god mike download my movie like that mike what,neither,0
oh where no,neither,0
oh my god app what app watch,neither,0
my dad,neither,0
my god,neither,0
price ha ha,neither,0
price hahaha,neither,0
s are a primary appreciated,neither,0
s are a primary appreciated thank you thank you thank you,neither,0
beauty beauty is my favourite game,neither,0
beauty beauty i think,neither,0
beauty beauty primate is,neither,0
now you will kept dude i like it,neither,0
now you will kept dude house doing a power shark is also i have this face,neither,0
appreciate the back now,neither,0
appreciate that the back now,neither,0
the back now,neither,0
now time is well akshay,neither,0
oh that he is thats like save this topic this because i dont know i know,neither,0
oh that he is thats like save this chat ok this because i dont know i know,neither,0
to the actually,neither,0
w w man to the actually,neither,0
what to do man to the actually,neither,0
so good,neither,0
largest freshwater so good,neither,0
we also can help you like,neither,0
from stay right now,neither,0
hi sarnath from stay right now,neither,0
from stay right now but this,neither,0
thakur man,neither,0
what happened bro you are right,neither,0
you are right,neither,0
what happened bro you are right you,neither,0
i was born is a rat eating sir lewis my man,neither,0
i was born in the rat eating so,neither,0
you send amitabh,neither,0
you same amitabh,neither,0
safari i think whats up man how is playing game,neither,0
safari game i think whats up man how is playing game,neither,0
i think whats up man how is playing game,neither,0
lets go on games,neither,0
yo she want with a prime selfie i saw drop the legend im not sure any whatsapp the money,neither,0
different now because like the volume of spc is the year release everyday i dont know,neither,0
now because like the volume of spc is the year release everyday i dont know,neither,0
different now because like the volume of spc is the year release everyday i know,neither,0
jj oh my god,neither,0
jj o my car,neither,0
i dont like to change that i am see in a row,neither,0
i dont like to change in arrow,neither,0
hello i dont like to change that i am see in a row,neither,0
rocket really get 20 minutes,neither,0
get 20 minutes,neither,0
rocket really get 20 minutes you just married,neither,0
rocket really text bro that is good,neither,0
ok so i think like get some time,neither,0
reboot oh yeah,neither,0
what hey man god,neither,0
what hey man go,neither,0
whats hey man god,neither,0
now chaos amazing bro where underated record,neither,0
now chaos amazing record all the best,neither,0
nice story story,neither,0
oh my my leader my leader,neither,0
mai leader my leader,neither,0
sabra green green,neither,0
what i called yeah,neither,0
what is its available,neither,0
what is the weather,neither,0
no idea song,neither,0
no idea why you think,neither,0
anything specific way now really i got this so much so good,neither,0
what do you find this elimination of harmful language,neither,0
now now handicap parking concert using accessible parking wild powerful language,neither,0
now now handicap parking accessible parking wild powerful language,neither,0
future bound as neighbourhood that my life will share bound inspective saying someone has a gray beard consider using the persons name price,neither,0
future bound as neighbourhood that my life will share bound inspective saying someone has a gray beard consider using the persons name guys,neither,0
using freshman please use first year student inspirative using guys please use people or everyone this is male dominating language,neither,0
if i using freshman please use first year student inspire using guys please use people or everyone this is male dominating language,neither,0
the question about time picnic okay so my take is jersey new because i think i think its nicely,neither,0
oh way we have quick so thank you chat okay chat easier forget for you bro,neither,0
i am i so please know your face yes,neither,0
i so please know your face,neither,0
am i so please know your face,neither,0
yods lets go oh my god,neither,0
lets go oh my god,neither,0
yo lets go oh my god,neither,0
yods lets go oh my car,neither,0
who is the prime,neither,0
who is the prime who is this version,neither,0
my cat bom bom today,neither,0
you know i mean boom boom today,neither,0
everyday nice bro,neither,0
yeah ovya thanks for the prime ghost 8625 goals and my first match,neither,0
yeah ovya thanks for the prime just finish goals in my first match,neither,0
hr what is he dance alone what is the squad requirement you guys now what is it raining baby i contact you take backup now and no no no no no no no you get it bro,neither,0
you send 1000 the question is how do we get him on camera what i am thinking is like him,neither,0
you send 1000 thank you man the question is how do we get him on camera what i am thinking is like,neither,0
oh my god you guys you guys need to chill with wifistly,neither,0
oh you want to keeps you done likely thats why i want to chat so you as much your basic did you see apples for our night tea still guys think like shadow dude i am proud in the mood for hunter,neither,0
oh you want to keeps you done likely thats why i want to chat so you as much your basic did you see apples for our night tea still dude i am proud in the mood for hunters,neither,0
oh my god my god,neither,0
oh my god my gorgeous in your,neither,0
oh my god is in your,neither,0
show in the reply yeah i am whats up mr pause is back mr boss baby,neither,0
show in the reply mr pause is back mr boss baby i dont care,neither,0
sachin sachin review,neither,0
sachin sachin what is wrong with his time here,neither,0
oh my god of the town,neither,0
oh my god i am going,neither,0
oh my god is so get,neither,0
vodafone i dont know,neither,0
michael okay,neither,0
try gone at the stadium,neither,0
trygon add the stadium,neither,0
oh my god quotes what is safe quotes,neither,0
no last call nice,neither,0
dude i can move man no no no no,neither,0
no man really good for my something,neither,0
no man really good for the travelling,neither,0
man really good for my something,neither,0
is palm my god is this,neither,0
is pal palm my god,neither,0
is arm my god,neither,0
i need to stop playing on dress is with the chat is same really party i am getting,neither,0
i need to stop playing on dress is with the chat is same really party i am going to eat,neither,0
just like that oh my god,neither,0
oppo just like that oh my god,neither,0
how man go,neither,0
how man is so,neither,0
how man i get it,neither,0
no no no no no,neither,0
raipur watch,neither,0
figure figure watch,neither,0
cater pain,neither,0
catering match pain,neither,0
tony man,neither,0
tony on the way,neither,0
oh no way,neither,0
youtube oh no,neither,0
oh no i say,neither,0
