sentence,label,class
afternoon speaking flight 730 6969 board thank,neither,0
afternoon speaking flight 730 6969 board guys,neither,0
aakash thank bro yes 10000 stream cause funny,neither,0
aakash thank bro yes 10000 stream cause today know,neither,0
aakash thank bro yes 10000 stream cause question,neither,0
wake times sunday play 20 games sunday papers,neither,0
good morning,neither,0
sponsorbico.com private internet access good morning,neither,0
crypto.com private internet access good morning,neither,0
sponsorbico.com private internet good morning,neither,0
good morning good morning,neither,0
dont know know think,neither,0
really bro oh god,neither,0
know oh god,neither,0
gold rate,neither,0
listen gold rate,neither,0
pinion effect cheetah tomorrow track,neither,0
pinion effect today spend money track,neither,0
pinion effect cheetah draft tomorrow track,neither,0
oh car,neither,0
oh god mike download movie like mike,neither,0
oh,neither,0
oh god app app watch,neither,0
dad,neither,0
god,neither,0
price ha ha,neither,0
price hahaha,neither,0
primary appreciated,neither,0
primary appreciated thank thank thank,neither,0
beauty beauty favourite game,neither,0
beauty beauty think,neither,0
beauty beauty primate,neither,0
kept dude like,neither,0
kept dude house power shark also face,neither,0
appreciate back,neither,0
appreciate back,neither,0
back,neither,0
time well akshay,neither,0
oh thats like save topic dont know know,neither,0
oh thats like save chat ok dont know know,neither,0
actually,neither,0
w w man actually,neither,0
man actually,neither,0
good,neither,0
largest freshwater good,neither,0
also help like,neither,0
stay right,neither,0
hi sarnath stay right,neither,0
stay right,neither,0
thakur man,neither,0
happened bro right,neither,0
right,neither,0
happened bro right,neither,0
born rat eating sir lewis man,neither,0
born rat eating,neither,0
send amitabh,neither,0
amitabh,neither,0
safari think whats man playing game,neither,0
safari game think whats man playing game,neither,0
think whats man playing game,neither,0
lets go games,neither,0
yo want prime selfie saw drop legend im sure whatsapp money,neither,0
different like volume spc year release everyday dont know,neither,0
like volume spc year release everyday dont know,neither,0
different like volume spc year release everyday know,neither,0
jj oh god,neither,0
jj car,neither,0
dont like change see row,neither,0
dont like change arrow,neither,0
hello dont like change see row,neither,0
rocket really get 20 minutes,neither,0
get 20 minutes,neither,0
rocket really get 20 minutes married,neither,0
rocket really text bro good,neither,0
ok think like get time,neither,0
reboot oh yeah,neither,0
hey man god,neither,0
hey man go,neither,0
whats hey man god,neither,0
chaos amazing bro underated record,neither,0
chaos amazing record best,neither,0
nice story story,neither,0
oh leader leader,neither,0
mai leader leader,neither,0
sabra green green,neither,0
called yeah,neither,0
available,neither,0
weather,neither,0
idea song,neither,0
idea think,neither,0
anything specific way really got much good,neither,0
find elimination harmful language,neither,0
handicap parking concert using accessible parking wild powerful language,neither,0
handicap parking accessible parking wild powerful language,neither,0
future bound neighbourhood life share bound inspective saying someone gray beard consider using persons name price,neither,0
future bound neighbourhood life share bound inspective saying someone gray beard consider using persons name guys,neither,0
using freshman please use first year student inspirative using guys please use people everyone male dominating language,neither,0
using freshman please use first year student inspire using guys please use people everyone male dominating language,neither,0
question time picnic okay take jersey new think think nicely,neither,0
oh way quick thank chat okay chat easier forget bro,neither,0
please know face yes,neither,0
please know face,neither,0
please know face,neither,0
yods lets go oh god,neither,0
lets go oh god,neither,0
yo lets go oh god,neither,0
yods lets go oh car,neither,0
prime,neither,0
prime version,neither,0
cat bom bom today,neither,0
know mean boom boom today,neither,0
everyday nice bro,neither,0
yeah ovya thanks prime ghost 8625 goals first match,neither,0
yeah ovya thanks prime finish goals first match,neither,0
hr dance alone squad requirement guys raining baby contact take backup get bro,neither,0
send 1000 question get camera thinking like,neither,0
send 1000 thank man question get camera thinking like,neither,0
oh god guys guys need chill wifistly,neither,0
oh want keeps done likely thats want chat much basic see apples night tea still guys think like shadow dude proud mood hunter,neither,0
oh want keeps done likely thats want chat much basic see apples night tea still dude proud mood hunters,neither,0
oh god god,neither,0
oh god gorgeous,neither,0
oh god,neither,0
show reply yeah whats mr pause back mr boss baby,neither,0
show reply mr pause back mr boss baby dont care,neither,0
sachin sachin review,neither,0
sachin sachin wrong time,neither,0
oh god town,neither,0
oh god going,neither,0
oh god get,neither,0
vodafone dont know,neither,0
michael okay,neither,0
try gone stadium,neither,0
trygon add stadium,neither,0
oh god quotes safe quotes,neither,0
last call nice,neither,0
dude move man,neither,0
man really good something,neither,0
man really good travelling,neither,0
man really good something,neither,0
palm god,neither,0
pal palm god,neither,0
arm god,neither,0
need stop playing dress chat really party getting,neither,0
need stop playing dress chat really party going eat,neither,0
like oh god,neither,0
oppo like oh god,neither,0
man go,neither,0
man,neither,0
man get,neither,0
,neither,0
raipur watch,neither,0
figure figure watch,neither,0
cater pain,neither,0
catering match pain,neither,0
tony man,neither,0
tony way,neither,0
oh way,neither,0
youtube oh,neither,0
oh say,neither,0
cucci take much bro,neither,0
cucci man take much,neither,0
watch watch really yeah yeah think wrong man go ave,neither,0
understand really yeah yeah think man go away go away,neither,0
okay,neither,0
achcha finished cup yesterday,neither,0
achcha finished yesterday,neither,0
op means overpower bra,neither,0
hi yeah sonu im recommended channels,neither,0
hi yeah sonu check channel,neither,0
hi yeah sonu recommended channel,neither,0
touch man,neither,0
car known command games,neither,0
oh god known games,neither,0
known games,neither,0
oh god known command games,neither,0
wearing appro sold man,neither,0
state like today im watching watch second half way,neither,0
oh ok anything,neither,0
oh god anything,neither,0
post,neither,0
everything guys post,neither,0
time,neither,0
everything guys time,neither,0
post seats,neither,0
courses,neither,0
youre funny dude,neither,0
youre funny week get battery,neither,0
oh baby camera done,neither,0
baby camera,neither,0
think,neither,0
sheera,neither,0
olive map,neither,0
map,neither,0
olive windows map,neither,0
windows map,neither,0
olivered map,neither,0
never bro,neither,0
blind,neither,0
brahman idiot,neither,0
samsung library,neither,0
haqeeqat business,neither,0
haqeeqat enjoy,neither,0
use may wrong way,neither,0
use may wrong,neither,0
use may around,neither,0
,neither,0
whats weather,neither,0
gas,neither,0
hi gas,neither,0
shoulder dont know man,neither,0
shoulder dont know man read bro,neither,0
shown hold dont know man,neither,0
oh dear,neither,0
love 36 morning search,neither,0
love 36 morning search work,neither,0
singer research please,neither,0
aam singer research please,neither,0
whatsapp,neither,0
whatsapp close time,neither,0
whatsapp oh god,neither,0
tame amroha,neither,0
haqeeqat bye,neither,0
hakikat bye,neither,0
know actually join,neither,0
know maths actually bro,neither,0
,neither,0
,neither,0
gp nagin gps sd,neither,0
gp nagin gps form miss cpu ram st,neither,0
whenever experience,neither,0
want experience,neither,0
whenever al experience,neither,0
war experience,neither,0
stop browser,neither,0
stop browser mine,neither,0
stop browser,neither,0
stop browser remember,neither,0
diet succeed,neither,0
diet succeed give types,neither,0
scale,neither,0
scale voice,neither,0
scale,neither,0
okay honestly,neither,0
say honestly,neither,0
actor funny bra,neither,0
actor funny bra black,neither,0
actor funny bra 20 box,neither,0
